PR Number,PR State,created_at,updated_at,closed_at,merged_at,PR age,Number of Labels,Label Names,Milestone Open Issues,Milestone Closed Issues,Head Repo Open Issues Count,Head Repo Open Issues,Base Repo Open Issues Count,Base Repo Open Issues,Number of Assignees,Number of Requested Reviewers,Number of Requested Teams,Total Commits,Total Lines Changed,Total Lines Added,Total Lines Deleted,Total Contributors,Total Comment Count,Total Files Changed,Rate of Commits,Rate of Lines Changes,Rate of Contributors,Rate of Comment Count,Total Changes,Total Added Files,Total Modified Files,Total Removed Files,Total Renamed Files,Total Copied Files
1,closed,2022-03-08T19:34:45Z,2025-01-10T22:49:42Z,2025-01-10T22:49:34Z,,27693.829415873613,0,,0,0,0,0,0,0,0,0,0,1,100,64,36,1,0,2,0.5,50.0,0.5,0.0,100,1,1,0,0,0
2,closed,2025-01-10T22:33:36Z,2025-01-10T22:33:51Z,2025-01-10T22:33:51Z,2025-01-10T22:33:51Z,2754.8485835594447,0,,0,0,0,0,0,0,0,0,0,3,4168,75,4093,1,0,400,0.0075,10.42,0.0025,0.0,4482,8,1,109,139,0
