PR Number,Total Files Changed,Total Lines Added,Total Lines Deleted,Total Changes,Total Added Files,Total Modified Files,Total Removed Files,Total Renamed Files,Total Copied Files,Linked Issue Number,Linked Issue Title,Open Issues,Open Issues Ratio,Closed Issues Ratio,Updated Issues Ratio,Issue Categories,Number of Current Branches,Current Branch Names
1,2,64,36,100,1,1,0,0,0,,,0,0.0,1.0,1.0,set(),5,"['Adding-functionality', 'main', 'master', 'ojas-parser', 'python_library']"
2,257,232,4250,4482,8,1,109,139,0,,,0,0.0,1.0,1.0,set(),5,"['Adding-functionality', 'main', 'master', 'ojas-parser', 'python_library']"
